sku,handle,category,keyword,image_count
GAP-001,parking-badalona,parking-servicio,secure indoor parking garage no people no logo,4
GAP-002,parking-badalona-2,parking-servicio,secure indoor parking lot no people no logo,5
GAP-003,ppf-frontal-detail-lab-bcn,ppf-wrap,paint protection film car hood closeup no people,3
GAP-004,tintado-lunas-detail-lab-bcn,tintado-lunas,car window tint installation no people no logo,5
GAP-005,kit-cuidado-gracia-auto-spa,accesorios-productos,car care products kit detailing accessories no people,5
GAP-006,alineacion-balanceo-eixample-tire-center,alineacion-balanceo,wheel alignment balancing machine workshop no people,5
GAP-007,ppf-capot-sants-wrap-studio,ppf-wrap,ppf hood protection car detailing no people,5
GAP-008,asistencia-bateria-costa-garage-express,bateria-asistencia,car battery roadside assistance no people no logo,5
GAP-009,parking-dia-costa-garage-express,parking-servicio,daily parking garage secure indoor no people,5
GAP-010,grua-express-poblenou-road-assist,grua-asistencia,tow truck roadside assistance urban no people,5
GAP-011,parabrisas-poblenou-road-assist,parabrisas-reparacion,car windshield replacement workshop no people,5
GAP-012,parking-fin-semana-ramblas-parking-service,parking-servicio,weekend parking garage indoor no people,5
GAP-013,accesorios-ramblas-parking-service,accesorios-productos,car accessories essentials product photo no logo,5
GAP-014,reparacion-aranazos-besos-auto-essentials,chapa-pintura,scratch repair car paint correction no people,5
GAP-015,pack-accesorios-besos-auto-essentials,accesorios-productos,auto detailing accessories pack clean background,5
GAP-016,wrap-techo-detail-lab-bcn,ppf-wrap,car roof wrap vinyl installation no people,5
GAP-017,reparacion-pinchazos-eixample-tire-center,neumaticos-llantas,tire puncture repair wheel service no people,5
GAP-018,wrap-parcial-sants-wrap-studio,ppf-wrap,partial vinyl wrap car body no people,5
GAP-019,sustitucion-luna-sants-wrap-studio,parabrisas-reparacion,auto glass windshield replacement no people,5
GAP-020,revision-frenos-costa-garage-express,mecanica-coche,brake inspection service automotive workshop no people,2
GAP-021,grua-nocturna-costa-garage-express,grua-asistencia,night tow truck roadside assistance no people,5
GAP-022,cambio-bateria-poblenou-road-assist,bateria-asistencia,car battery replacement roadside no people,5
GAP-023,parking-semanal-ramblas-parking-service,parking-servicio,weekly parking garage secure indoor no people,5
GAP-024,alineacion-rapida-costa-garage-express,alineacion-balanceo,quick wheel alignment service no people workshop,5
GAP-025,cambio-neumatico-domicilio-poblenou-road-assist,neumaticos-llantas,mobile tire change service roadside no people,5
GAP-026,parking-servicio-montjuic-car-care,parking-servicio,valet parking service indoor garage no people,5
