URL handle,Title,Description,Vendor,Type,Tags,Published on online store,Status,Option1 name,Option1 value,Price
lavado-premium-barcelona-wash-hub,Lavado premium interior y exterior,"<p>Servicio demo de lavado premium para vehiculos en Barcelona. Incluye limpieza interior, exterior y acabado final.</p>",Barcelona Wash Hub,Servicio,"demo,servicio,barcelona,lavado,proveedor-barcelona-wash-hub",true,active,Title,Default Title,39.00
detailing-esencial-barcelona-wash-hub,Detailing esencial con proteccion,"<p>Servicio demo de detailing esencial con limpieza profunda, aspirado y proteccion basica de superficies.</p>",Barcelona Wash Hub,Servicio,"demo,servicio,barcelona,detailing,proveedor-barcelona-wash-hub",true,active,Title,Default Title,89.00
mantenimiento-rapido-barcelona-wash-hub,Mantenimiento rapido de revision basica,"<p>Servicio demo de mantenimiento rapido con revision visual, filtros y comprobacion general.</p>",Barcelona Wash Hub,Servicio,"demo,servicio,barcelona,mantenimiento-rapido,proveedor-barcelona-wash-hub",true,active,Title,Default Title,69.00
pulido-correccion-detail-lab-bcn,Pulido y correccion de pintura,"<p>Servicio demo de pulido y correccion de pintura para mejorar brillo y reducir micro-rayas.</p>",Detail Lab BCN,Servicio,"demo,servicio,barcelona,detailing,proveedor-detail-lab-bcn",true,active,Title,Default Title,249.00
ppf-frontal-detail-lab-bcn,PPF frontal de proteccion,"<p>Servicio demo de aplicacion PPF en zona frontal para proteger la pintura frente a impactos leves.</p>",Detail Lab BCN,Servicio,"demo,servicio,barcelona,ppf-wrap,proveedor-detail-lab-bcn",true,active,Title,Default Title,499.00
tintado-lunas-detail-lab-bcn,Tintado de lunas completo,"<p>Servicio demo de tintado de lunas con acabado profesional para mayor confort y privacidad.</p>",Detail Lab BCN,Servicio,"demo,servicio,barcelona,tintado-lunas,proveedor-detail-lab-bcn",true,active,Title,Default Title,189.00
lavado-completo-montjuic-car-care,Lavado completo de carroceria,"<p>Servicio demo de lavado completo con limpieza exterior detallada y secado manual.</p>",Montjuic Car Care,Servicio,"demo,servicio,barcelona,lavado,proveedor-montjuic-car-care",true,active,Title,Default Title,35.00
chapa-pintura-montjuic-car-care,Reparacion de chapa y pintura,"<p>Servicio demo de reparacion de golpes leves, aranazos y repintado localizado.</p>",Montjuic Car Care,Servicio,"demo,servicio,barcelona,chapa-pintura,proveedor-montjuic-car-care",true,active,Title,Default Title,320.00
grua-urbana-montjuic-car-care,Grua urbana inmediata,"<p>Servicio demo de grua urbana para asistencia rapida dentro de Barcelona y alrededores.</p>",Montjuic Car Care,Servicio,"demo,servicio,barcelona,grua-asistencia,proveedor-montjuic-car-care",true,active,Title,Default Title,85.00
lavado-ecologico-gracia-auto-spa,Lavado ecologico a mano,"<p>Servicio demo de lavado ecologico a mano con productos de bajo impacto y acabado cuidado.</p>",Gracia Auto Spa,Servicio,"demo,servicio,barcelona,lavado,proveedor-gracia-auto-spa",true,active,Title,Default Title,42.00
detailing-interior-gracia-auto-spa,Detailing interior premium,"<p>Servicio demo de detailing interior con limpieza profunda de tapiceria, plasticos y cristales.</p>",Gracia Auto Spa,Servicio,"demo,servicio,barcelona,detailing,proveedor-gracia-auto-spa",true,active,Title,Default Title,119.00
kit-cuidado-gracia-auto-spa,Pack de accesorios de cuidado,"<p>Servicio demo con pack de accesorios y productos para el cuidado basico del coche.</p>",Gracia Auto Spa,Servicio,"demo,servicio,barcelona,accesorios-productos,proveedor-gracia-auto-spa",true,active,Title,Default Title,55.00
cambio-neumaticos-eixample-tire-center,Cambio de neumaticos por eje,"<p>Servicio demo de sustitucion de neumaticos por eje con revision visual del estado general.</p>",Eixample Tire Center,Servicio,"demo,servicio,barcelona,neumaticos-llantas,proveedor-eixample-tire-center",true,active,Title,Default Title,99.00
alineacion-balanceo-eixample-tire-center,Alineacion y balanceo,"<p>Servicio demo de alineacion y balanceo para mejorar seguridad, confort y desgaste uniforme.</p>",Eixample Tire Center,Servicio,"demo,servicio,barcelona,neumaticos-llantas,proveedor-eixample-tire-center",true,active,Title,Default Title,79.00
revision-aceite-eixample-tire-center,Revision rapida con cambio de aceite,"<p>Servicio demo de mantenimiento rapido con cambio de aceite y filtros basicos.</p>",Eixample Tire Center,Servicio,"demo,servicio,barcelona,mantenimiento-rapido,proveedor-eixample-tire-center",true,active,Title,Default Title,95.00
vinilo-completo-sants-wrap-studio,Vinilo completo para carroceria,"<p>Servicio demo de wrap integral para cambiar el estilo visual del vehiculo con acabado profesional.</p>",Sants Wrap Studio,Servicio,"demo,servicio,barcelona,ppf-wrap,proveedor-sants-wrap-studio",true,active,Title,Default Title,1200.00
ppf-capot-sants-wrap-studio,PPF para capot y defensa,"<p>Servicio demo de proteccion PPF en zonas expuestas como capot y defensa frontal.</p>",Sants Wrap Studio,Servicio,"demo,servicio,barcelona,ppf-wrap,proveedor-sants-wrap-studio",true,active,Title,Default Title,390.00
tintado-premium-sants-wrap-studio,Tintado premium de cristales,"<p>Servicio demo de tintado premium de cristales con laminas homologadas.</p>",Sants Wrap Studio,Servicio,"demo,servicio,barcelona,tintado-lunas,proveedor-sants-wrap-studio",true,active,Title,Default Title,210.00
cambio-aceite-costa-garage-express,Cambio de aceite express,"<p>Servicio demo de cambio de aceite express con revision rapida de niveles y filtros.</p>",Costa Garage Express,Servicio,"demo,servicio,barcelona,mantenimiento-rapido,proveedor-costa-garage-express",true,active,Title,Default Title,65.00
asistencia-bateria-costa-garage-express,Asistencia por bateria descargada,"<p>Servicio demo de asistencia en carretera para arranque de bateria y comprobacion inicial.</p>",Costa Garage Express,Servicio,"demo,servicio,barcelona,grua-asistencia,proveedor-costa-garage-express",true,active,Title,Default Title,59.00
parking-dia-costa-garage-express,Parking seguro por dia,"<p>Servicio demo de parking seguro por dia en zona costera con acceso sencillo.</p>",Costa Garage Express,Servicio,"demo,servicio,barcelona,parking,proveedor-costa-garage-express",true,active,Title,Default Title,18.00
grua-express-poblenou-road-assist,Grua express 24 horas,"<p>Servicio demo de grua express 24 horas para incidencias y traslados urbanos.</p>",Poblenou Road Assist,Servicio,"demo,servicio,barcelona,grua-asistencia,proveedor-poblenou-road-assist",true,active,Title,Default Title,95.00
parabrisas-poblenou-road-assist,Reparacion y cambio de parabrisas,"<p>Servicio demo de reparacion de impacto o sustitucion completa de parabrisas.</p>",Poblenou Road Assist,Servicio,"demo,servicio,barcelona,tintado-lunas,proveedor-poblenou-road-assist",true,active,Title,Default Title,240.00
revision-basica-poblenou-road-assist,Revision basica pre-itv,"<p>Servicio demo de revision basica para detectar incidencias comunes antes de ITV.</p>",Poblenou Road Assist,Servicio,"demo,servicio,barcelona,mantenimiento-rapido,proveedor-poblenou-road-assist",true,active,Title,Default Title,49.00
parking-fin-semana-ramblas-parking-service,Parking fin de semana,"<p>Servicio demo de parking de fin de semana en ubicacion centrica y vigilada.</p>",Ramblas Parking Service,Servicio,"demo,servicio,barcelona,parking,proveedor-ramblas-parking-service",true,active,Title,Default Title,45.00
lavado-rapido-ramblas-parking-service,Lavado rapido mientras aparcas,"<p>Servicio demo de lavado rapido para aprovechar el tiempo de aparcamiento.</p>",Ramblas Parking Service,Servicio,"demo,servicio,barcelona,lavado,proveedor-ramblas-parking-service",true,active,Title,Default Title,25.00
accesorios-ramblas-parking-service,Accesorios esenciales para coche,"<p>Servicio demo de venta asistida de accesorios esenciales para uso diario del vehiculo.</p>",Ramblas Parking Service,Servicio,"demo,servicio,barcelona,accesorios-productos,proveedor-ramblas-parking-service",true,active,Title,Default Title,29.00
ceramico-besos-auto-essentials,Tratamiento ceramico basico,"<p>Servicio demo de tratamiento ceramico basico para potenciar brillo y facilitar mantenimiento.</p>",Besos Auto Essentials,Servicio,"demo,servicio,barcelona,detailing,proveedor-besos-auto-essentials",true,active,Title,Default Title,199.00
reparacion-aranazos-besos-auto-essentials,Reparacion de aranazos y roces,"<p>Servicio demo de reparacion localizada de aranazos y pequenos roces en carroceria.</p>",Besos Auto Essentials,Servicio,"demo,servicio,barcelona,chapa-pintura,proveedor-besos-auto-essentials",true,active,Title,Default Title,145.00
