"URL handle","Title","Description","Vendor","Type","Tags","Published on online store","Status","Option1 name","Option1 value","Price"
"lavado-completo-la-cochera-place","Lavado Completo","<p><strong>Exterior, encerado, aspirado y vidrios.</strong></p><p>El lavado completo es nuestro servicio base y el mas solicitado. Consiste en una limpieza total del vehiculo tanto por fuera como por dentro, utilizando productos de marcas reconocidas como Sonax, 3M y Carpro que garantizan un resultado de calidad sin danar la pintura ni los materiales del auto.</p><h3>Proceso</h3><ol><li><strong>Pre-lavado:</strong> Se aplica espuma activa o shampoo automotriz sobre toda la carroceria para ablandar la suciedad, barro y polvo adherido antes del contacto manual.</li><li><strong>Lavado con guante de microfibra:</strong> Se frota la carroceria con guante suave para remover la suciedad sin rayar la pintura, siguiendo un orden de arriba hacia abajo.</li><li><strong>Limpieza de llantas y aros:</strong> Se aplica producto desengrasante especial para llantas y se cepillan los aros para eliminar el polvo de frenos y la suciedad acumulada.</li><li><strong>Enjuague a presion:</strong> Se enjuaga toda la carroceria con agua a presion para retirar los restos de shampoo y suciedad.</li><li><strong>Secado con microfibra:</strong> Se seca el vehiculo con panos de microfibra de alta absorcion para evitar manchas de agua y rayaduras.</li><li><strong>Encerado de carroceria:</strong> Se aplica cera protectora sobre la pintura para darle brillo, protegerla del sol, la lluvia y el polvo, y facilitar la limpieza futura.</li><li><strong>Aspirado interior:</strong> Se aspiran alfombras, asientos, tapizados y todo el piso del habitaculo para retirar polvo, arena y residuos.</li><li><strong>Limpieza de vidrios:</strong> Se limpian los vidrios interiores y exteriores dejandolos sin manchas ni huellas de dedos.</li></ol><p><em>Tolerancia de estacionamiento: 1 a 2 horas maximo tras la entrega del vehiculo.</em></p>","La Cochera Place","Servicio","servicio,carwash,lavado,proveedor-la-cochera-place,ches-catalogo,service-flow-checkout","false","draft","Tipo de vehiculo","Auto","50.00"
"lavado-completo-la-cochera-place","Lavado Completo","<p><strong>Exterior, encerado, aspirado y vidrios.</strong></p><p>El lavado completo es nuestro servicio base y el mas solicitado. Consiste en una limpieza total del vehiculo tanto por fuera como por dentro, utilizando productos de marcas reconocidas como Sonax, 3M y Carpro que garantizan un resultado de calidad sin danar la pintura ni los materiales del auto.</p><h3>Proceso</h3><ol><li><strong>Pre-lavado:</strong> Se aplica espuma activa o shampoo automotriz sobre toda la carroceria para ablandar la suciedad, barro y polvo adherido antes del contacto manual.</li><li><strong>Lavado con guante de microfibra:</strong> Se frota la carroceria con guante suave para remover la suciedad sin rayar la pintura, siguiendo un orden de arriba hacia abajo.</li><li><strong>Limpieza de llantas y aros:</strong> Se aplica producto desengrasante especial para llantas y se cepillan los aros para eliminar el polvo de frenos y la suciedad acumulada.</li><li><strong>Enjuague a presion:</strong> Se enjuaga toda la carroceria con agua a presion para retirar los restos de shampoo y suciedad.</li><li><strong>Secado con microfibra:</strong> Se seca el vehiculo con panos de microfibra de alta absorcion para evitar manchas de agua y rayaduras.</li><li><strong>Encerado de carroceria:</strong> Se aplica cera protectora sobre la pintura para darle brillo, protegerla del sol, la lluvia y el polvo, y facilitar la limpieza futura.</li><li><strong>Aspirado interior:</strong> Se aspiran alfombras, asientos, tapizados y todo el piso del habitaculo para retirar polvo, arena y residuos.</li><li><strong>Limpieza de vidrios:</strong> Se limpian los vidrios interiores y exteriores dejandolos sin manchas ni huellas de dedos.</li></ol><p><em>Tolerancia de estacionamiento: 1 a 2 horas maximo tras la entrega del vehiculo.</em></p>","La Cochera Place","Servicio","servicio,carwash,lavado,proveedor-la-cochera-place,ches-catalogo,service-flow-checkout","false","draft","Tipo de vehiculo","Camioneta SUV","60.00"
"lavado-completo-la-cochera-place","Lavado Completo","<p><strong>Exterior, encerado, aspirado y vidrios.</strong></p><p>El lavado completo es nuestro servicio base y el mas solicitado. Consiste en una limpieza total del vehiculo tanto por fuera como por dentro, utilizando productos de marcas reconocidas como Sonax, 3M y Carpro que garantizan un resultado de calidad sin danar la pintura ni los materiales del auto.</p><h3>Proceso</h3><ol><li><strong>Pre-lavado:</strong> Se aplica espuma activa o shampoo automotriz sobre toda la carroceria para ablandar la suciedad, barro y polvo adherido antes del contacto manual.</li><li><strong>Lavado con guante de microfibra:</strong> Se frota la carroceria con guante suave para remover la suciedad sin rayar la pintura, siguiendo un orden de arriba hacia abajo.</li><li><strong>Limpieza de llantas y aros:</strong> Se aplica producto desengrasante especial para llantas y se cepillan los aros para eliminar el polvo de frenos y la suciedad acumulada.</li><li><strong>Enjuague a presion:</strong> Se enjuaga toda la carroceria con agua a presion para retirar los restos de shampoo y suciedad.</li><li><strong>Secado con microfibra:</strong> Se seca el vehiculo con panos de microfibra de alta absorcion para evitar manchas de agua y rayaduras.</li><li><strong>Encerado de carroceria:</strong> Se aplica cera protectora sobre la pintura para darle brillo, protegerla del sol, la lluvia y el polvo, y facilitar la limpieza futura.</li><li><strong>Aspirado interior:</strong> Se aspiran alfombras, asientos, tapizados y todo el piso del habitaculo para retirar polvo, arena y residuos.</li><li><strong>Limpieza de vidrios:</strong> Se limpian los vidrios interiores y exteriores dejandolos sin manchas ni huellas de dedos.</li></ol><p><em>Tolerancia de estacionamiento: 1 a 2 horas maximo tras la entrega del vehiculo.</em></p>","La Cochera Place","Servicio","servicio,carwash,lavado,proveedor-la-cochera-place,ches-catalogo,service-flow-checkout","false","draft","Tipo de vehiculo","Camioneta 3 filas","70.00"
"lavado-vapor-interior-la-cochera-place","Lavado Vapor","<p>Lavado a vapor interior para vehiculos en La Cochera Place. Servicio piloto carwash pendiente de aprobacion final de precio EUR por Ches.</p>","La Cochera Place","Servicio","servicio,carwash,lavado,proveedor-la-cochera-place,ches-catalogo,price-pending-eur,service-flow-checkout","false","draft","Tipo de vehiculo","Coche","0.00"
"lavado-vapor-interior-la-cochera-place","Lavado Vapor","<p>Lavado a vapor interior para vehiculos en La Cochera Place. Servicio piloto carwash pendiente de aprobacion final de precio EUR por Ches.</p>","La Cochera Place","Servicio","servicio,carwash,lavado,proveedor-la-cochera-place,ches-catalogo,price-pending-eur,service-flow-checkout","false","draft","Tipo de vehiculo","SUV","0.00"
"lavado-vapor-interior-la-cochera-place","Lavado Vapor","<p>Lavado a vapor interior para vehiculos en La Cochera Place. Servicio piloto carwash pendiente de aprobacion final de precio EUR por Ches.</p>","La Cochera Place","Servicio","servicio,carwash,lavado,proveedor-la-cochera-place,ches-catalogo,price-pending-eur,service-flow-checkout","false","draft","Tipo de vehiculo","7 plazas","0.00"
"lavado-salon-detailing-interior-la-cochera-place","Lavado Salon","<p>Lavado de salon y detailing interior para vehiculos en La Cochera Place. Servicio piloto carwash pendiente de aprobacion final de precio EUR por Ches.</p>","La Cochera Place","Servicio","servicio,carwash,detailing,proveedor-la-cochera-place,ches-catalogo,price-pending-eur,service-flow-checkout","false","draft","Tipo de vehiculo","Coche","0.00"
"lavado-salon-detailing-interior-la-cochera-place","Lavado Salon","<p>Lavado de salon y detailing interior para vehiculos en La Cochera Place. Servicio piloto carwash pendiente de aprobacion final de precio EUR por Ches.</p>","La Cochera Place","Servicio","servicio,carwash,detailing,proveedor-la-cochera-place,ches-catalogo,price-pending-eur,service-flow-checkout","false","draft","Tipo de vehiculo","SUV","0.00"
"lavado-salon-detailing-interior-la-cochera-place","Lavado Salon","<p>Lavado de salon y detailing interior para vehiculos en La Cochera Place. Servicio piloto carwash pendiente de aprobacion final de precio EUR por Ches.</p>","La Cochera Place","Servicio","servicio,carwash,detailing,proveedor-la-cochera-place,ches-catalogo,price-pending-eur,service-flow-checkout","false","draft","Tipo de vehiculo","7 plazas","0.00"
"motor-a-vapor-la-cochera-place","Motor a Vapor","<p>Limpieza de motor a vapor en La Cochera Place. Precio unico previsto; se mantienen variantes por consistencia del catalogo piloto hasta aprobacion final de precio EUR por Ches.</p>","La Cochera Place","Servicio","servicio,carwash,mantenimiento-ligero,proveedor-la-cochera-place,ches-catalogo,price-pending-eur,service-flow-checkout","false","draft","Tipo de vehiculo","Coche","0.00"
