URL handle,Title,Description,Vendor,Type,Tags,Published on online store,Status,Option1 name,Option1 value,Price
detailing-premium-rivas-detailing-studio,Detailing premium,"<p>Servicio demo de detailing premium con limpieza profunda, acabado y proteccion de superficies.</p>",Rivas Detailing Studio,Servicio,"demo,servicio,barcelona,detailing,proveedor-rivas-detailing-studio",true,active,Title,Default Title,159.00
pulido-correccion-rivas-detailing-studio,Pulido y correccion de pintura,"<p>Servicio demo de pulido y correccion para mejorar brillo y reducir micro-rayas en carroceria.</p>",Rivas Detailing Studio,Servicio,"demo,servicio,barcelona,detailing,proveedor-rivas-detailing-studio",true,active,Title,Default Title,229.00
tratamiento-ceramico-rivas-detailing-studio,Tratamiento ceramico,"<p>Servicio demo de tratamiento ceramico para proteccion de pintura y mayor facilidad de mantenimiento.</p>",Rivas Detailing Studio,Servicio,"demo,servicio,barcelona,detailing,proveedor-rivas-detailing-studio",true,active,Title,Default Title,289.00
ppf-frontal-rivas-detailing-studio,PPF frontal,"<p>Servicio demo de instalacion de PPF frontal en zonas de mayor impacto para proteger la pintura.</p>",Rivas Detailing Studio,Servicio,"demo,servicio,barcelona,ppf-wrap,proveedor-rivas-detailing-studio",true,active,Title,Default Title,499.00
tintado-lunas-rivas-detailing-studio,Tintado de lunas,"<p>Servicio demo de tintado de lunas con laminas homologadas para confort y privacidad.</p>",Rivas Detailing Studio,Servicio,"demo,servicio,barcelona,tintado-lunas,proveedor-rivas-detailing-studio",true,active,Title,Default Title,199.00
reparacion-parabrisas-chamartin-glass-detail,Reparacion de parabrisas,"<p>Servicio demo de reparacion de impactos en parabrisas para evitar fisuras mayores.</p>",Chamartin Glass & Detail,Servicio,"demo,servicio,barcelona,tintado-lunas,proveedor-chamartin-glass-detail",true,active,Title,Default Title,119.00
sustitucion-parabrisas-chamartin-glass-detail,Sustitucion de parabrisas,"<p>Servicio demo de sustitucion completa de parabrisas con montaje profesional.</p>",Chamartin Glass & Detail,Servicio,"demo,servicio,barcelona,tintado-lunas,proveedor-chamartin-glass-detail",true,active,Title,Default Title,349.00
tintado-lunas-premium-chamartin-glass-detail,Tintado de lunas premium,"<p>Servicio demo de tintado premium de lunas con acabado de alta calidad.</p>",Chamartin Glass & Detail,Servicio,"demo,servicio,barcelona,tintado-lunas,proveedor-chamartin-glass-detail",true,active,Title,Default Title,229.00
pulido-faros-chamartin-glass-detail,Pulido de faros,"<p>Servicio demo de restauracion y pulido de faros para mejorar visibilidad y estetica.</p>",Chamartin Glass & Detail,Servicio,"demo,servicio,barcelona,detailing,proveedor-chamartin-glass-detail",true,active,Title,Default Title,79.00
detailing-interior-chamartin-glass-detail,Detailing interior,"<p>Servicio demo de detailing interior con limpieza profunda de cabina y acabados.</p>",Chamartin Glass & Detail,Servicio,"demo,servicio,barcelona,detailing,proveedor-chamartin-glass-detail",true,active,Title,Default Title,129.00
