provider_name,suggested_handle,district,province,region,primary_category,phone,whatsapp,website,rating,review_count,verification_status,latitude,longitude
Ricar Multicenter,ricar-multicenter,Chiclayo,Chiclayo,Lambayeque,productos-y-accesorios-para-el-cuidado-automotriz,+51968052360,,http://www.ricar.pe/,4,143,verified_strong,-6.7693627,-79.846023
AUTOMAN CHICLAYO E.I.R.L.,automan-chiclayo-eirl,Chiclayo,Chiclayo,Lambayeque,mantenimiento-ligero,+5174202138,,,4.3,76,verified_basic,-6.783404,-79.8806588
Automotriz Burga,automotriz-burga,José Leonardo Ortiz,Chiclayo,Lambayeque,mantenimiento-ligero,,,,4.6,37,verified_strong,-6.7563126,-79.8201029
Automotriz Palomino.,automotriz-palomino,José Leonardo Ortiz,Chiclayo,Lambayeque,mantenimiento-ligero,+51920774201,,https://automotrizpalomino.business.site/,4.3,16,verified_strong,-6.7602572,-79.8486578
Lubricentro Y Lavadero Oasis,lubricentro-y-lavadero-oasis,La Victoria,Chiclayo,Lambayeque,lavado,,,,4.4,22,verified_basic,-6.8015835,-79.8432878
Baterías USCAY,baterias-uscay,Chiclayo,Chiclayo,Lambayeque,productos-y-accesorios-para-el-cuidado-automotriz,+51955469755,,http://bateriasuscay.pe/,,,needs_contact,-6.7627556,-79.8397931
Motor Shop fuel injection,motor-shop-fuel-injection,Chiclayo,Chiclayo,Lambayeque,mantenimiento-ligero,+51952034438,,http://www.motorshoperu.com/,5,5,verified_strong,-6.7630957,-79.8413283
CAMPOS MOTORS,campos-motors,Chiclayo,Chiclayo,Lambayeque,mantenimiento-ligero,+5174221319,,,4.4,21,verified_strong,-6.7638949,-79.8442705
Taller Central Motors,taller-central-motors,Chiclayo,Chiclayo,Lambayeque,mantenimiento-ligero,+51978797765,,,5,5,verified_basic,-6.7727385,-79.8646949
Comercio & Cía - Llantas,comercio-cia-llantas,Chiclayo,Chiclayo,Lambayeque,neumaticos-y-llantas,+5174235582,,http://www.comerciollantas.com.pe/,,0,needs_contact,-6.7626577,-79.842344
CARROCERIAS HERRERA,carrocerias-herrera,José Leonardo Ortiz,Chiclayo,Lambayeque,chapa-y-pintura,,,,,0,needs_contact,-6.7501252,-79.8591843
Davalos Import SA,davalos-import-sa,José Leonardo Ortiz,Chiclayo,Lambayeque,productos-y-accesorios-para-el-cuidado-automotriz,+51942077303,,http://www.grupodavalos.com/,5,2,verified_basic,-6.7623523,-79.8428496
