handle,image_path,alt
lavado-completo-la-cochera-place,product-images/lavado-coches/lavado-completo/lavado-completo-01.webp,Lavado completo exterior e interior
lavado-completo-la-cochera-place,product-images/lavado-coches/lavado-completo/lavado-completo-02.webp,Lavado completo con acabado de carroceria
lavado-completo-la-cochera-place,product-images/lavado-coches/lavado-completo/lavado-completo-03.webp,Detalle de lavado automotriz
lavado-vapor-interior-la-cochera-place,product-images/limpieza-interior-coche/limpieza-interior-premium/limpieza-interior-premium-01.webp,Limpieza interior a vapor
lavado-vapor-interior-la-cochera-place,product-images/limpieza-interior-coche/limpieza-interior-premium/limpieza-interior-premium-02.webp,Detalle de limpieza interior
lavado-salon-detailing-interior-la-cochera-place,product-images/detailing-coche/detailing-premium/detailing-premium-01.webp,Detailing de salon interior
lavado-salon-detailing-interior-la-cochera-place,product-images/detailing-coche/detailing-premium/detailing-premium-02.webp,Acabado premium interior
motor-a-vapor-la-cochera-place,product-images/mecanica-coche/mantenimiento-basico/mantenimiento-basico-01.webp,Limpieza de motor en taller
motor-a-vapor-la-cochera-place,product-images/mecanica-coche/mantenimiento-basico/mantenimiento-basico-02.webp,Motor en proceso de mantenimiento
pulido-faros-la-cochera-place,product-images/pulido-carroceria/pulido-ceramico/pulido-ceramico-01.webp,Pulido de faros y carroceria
pulido-faros-la-cochera-place,product-images/pulido-carroceria/pulido-ceramico/pulido-ceramico-02.webp,Brillo de superficie automotriz
pulido-pintura-la-cochera-place,product-images/pulido-carroceria/pulido-ceramico/pulido-ceramico-03.webp,Pulido de pintura profesional
pulido-pintura-la-cochera-place,product-images/pulido-carroceria/pulido-ceramico/pulido-ceramico-04.webp,Correccion de pintura
descontaminado-pintura-la-cochera-place,product-images/pulido-carroceria/pulido-ceramico/pulido-ceramico-05.webp,Descontaminado de pintura
ceramico-carpro-la-cochera-place,product-images/pulido-carroceria/pulido-ceramico/pulido-ceramico-02.webp,Recubrimiento ceramico Carpro
ceramico-carpro-la-cochera-place,product-images/pulido-carroceria/pulido-ceramico/pulido-ceramico-04.webp,Proteccion ceramica en carroceria
cueros-aros-la-cochera-place,product-images/detailing-coche/detailing-premium/detailing-premium-03.webp,Cuidado de cueros interiores
cueros-aros-la-cochera-place,product-images/detailing-coche/detailing-premium/detailing-premium-04.webp,Limpieza y acabado de aros
