title,handle,vendor,product_type,Checkout type,status,total_inventory
Accesorios esenciales para coche,accesorios-ramblas-parking-service,Ramblas Parking Service,Servicio,,ACTIVE,0
Alineacion rapida y control de neumaticos,alineacion-rapida-costa-garage-express,Costa Garage Express,Servicio,,ACTIVE,0
Alineacion y balanceo,alineacion-balanceo-eixample-tire-center,Eixample Tire Center,Servicio,,ACTIVE,0
Alquiler box 2 horas,alquiler-box-2-horas-poblenou-box-rental,Poblenou Box Rental,Servicio,,ACTIVE,0
Alquiler box jornada completa,alquiler-box-jornada-completa-poblenou-box-rental,Poblenou Box Rental,Servicio,,ACTIVE,0
Alquiler box media jornada,alquiler-box-media-jornada-poblenou-box-rental,Poblenou Box Rental,Servicio,,ACTIVE,0
Asistencia por bateria descargada,asistencia-bateria-costa-garage-express,Costa Garage Express,Servicio,,ACTIVE,0
Asistencia tecnica de taller,asistencia-tecnica-de-taller-poblenou-box-rental,Poblenou Box Rental,Servicio,,ACTIVE,0
Cambio de aceite express,cambio-aceite-costa-garage-express,Costa Garage Express,Servicio,,ACTIVE,0
Cambio de bateria a domicilio,cambio-bateria-poblenou-road-assist,Poblenou Road Assist,Servicio,,ACTIVE,0
Cambio de neumatico a domicilio,cambio-neumatico-domicilio-poblenou-road-assist,Poblenou Road Assist,Servicio,,ACTIVE,0
Cambio de neumaticos por eje,cambio-neumaticos-eixample-tire-center,Eixample Tire Center,Servicio,,ACTIVE,0
Cambio y montaje de llantas,cambio-llantas-eixample-tire-center,Eixample Tire Center,Servicio,,ACTIVE,0
Ceramico Carpro,ceramico-carpro-la-cochera-place,La Cochera Place,Servicio,,ACTIVE,0
Compacto urbano revisado,compacto-urbano-revisado-eixample-ocasion-motor,Eixample Ocasion Motor,Servicio,,ACTIVE,0
Cueros / Aros,cueros-aros-la-cochera-place,La Cochera Place,Servicio,,ACTIVE,0
Desabollado sin pintura,desabollado-sin-pintura-montjuic-car-care,Montjuic Car Care,Servicio,,ACTIVE,0
Descontaminado,descontaminado-pintura-la-cochera-place,La Cochera Place,Servicio,,ACTIVE,0
Desinfeccion interior con ozono,ozono-interior-barcelona-wash-hub,Barcelona Wash Hub,Servicio,,ACTIVE,0
Detailing Barcelona Laundry,detailing-barcelona-laundry,Barcelona Laundry,Detailing,Normal (incluye variaciones por tamaño de vehículo),ACTIVE,10
Detailing esencial con proteccion,detailing-esencial-barcelona-wash-hub,Barcelona Wash Hub,Servicio,Normal (incluye variaciones por tamaño de vehículo),ACTIVE,0
Detailing interior premium,detailing-interior-gracia-auto-spa,Gracia Auto Spa,Servicio,Normal (incluye variaciones por tamaño de vehículo),ACTIVE,0
Detailing La Cochera Place,detailing,La Cochera Place,Detailing,Normal (incluye variaciones por tamaño de vehículo),ACTIVE,10
Diagnostico rapido de averia,diagnostico-rapido-poblenou-road-assist,Poblenou Road Assist,Servicio,,ACTIVE,0
Espacio y herramientas por horas - Gracia Garage Tools,espacio-y-herramientas-por-horas-gracia-garage-tools-gracia-garage-tools,Gracia Garage Tools,Servicio,,ACTIVE,0
Garantia extendida ocasion,garantia-extendida-ocasion-eixample-ocasion-motor,Eixample Ocasion Motor,Servicio,,ACTIVE,0
Grua express 24 horas,grua-express-poblenou-road-assist,Poblenou Road Assist,Servicio,,ACTIVE,0
Grua nocturna urgente,grua-nocturna-costa-garage-express,Costa Garage Express,Servicio,,ACTIVE,0
Grua urbana inmediata,grua-urbana-montjuic-car-care,Montjuic Car Care,Servicio,,ACTIVE,0
Lavado Barcelona Laundry,lavado-full,Barcelona Laundry,Lavado,,ACTIVE,0
Lavado Completo,lavado-completo-la-cochera-place,La Cochera Place,Servicio,Normal (incluye variaciones por tamaño de vehículo),ACTIVE,0
Lavado completo de carroceria,lavado-completo-montjuic-car-care,Montjuic Car Care,Servicio,Normal (incluye variaciones por tamaño de vehículo),ACTIVE,0
Lavado ecologico a mano,lavado-ecologico-gracia-auto-spa,Gracia Auto Spa,Servicio,Normal (incluye variaciones por tamaño de vehículo),ACTIVE,0
Lavado express exterior,lavado-express-barcelona-wash-hub,Barcelona Wash Hub,Servicio,Normal (incluye variaciones por tamaño de vehículo),ACTIVE,0
